gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure_group,PCA_1,PCA_2
0,-0.43991649313097614,1,0,-1.2774445836787656,0,1,0,0,2,0,0,0,0,0,1,2,-1.1603229160349193,-0.9942419353101233,0,1,-1.9954349567909817,-0.14844763237201164
1,-0.43991649313097614,0,0,0.06632741908223598,1,0,0,2,0,2,0,0,0,1,0,3,-0.2596289419448806,-0.17324412574959375,0,2,-0.27253667794509967,-0.463726616568404
1,-0.43991649313097614,0,0,-1.2367242199587352,1,0,0,2,2,0,0,0,0,0,1,3,-0.3626603559551803,-0.9596740712020441,1,1,-1.5565049489704719,0.07605963830329389
1,-0.43991649313097614,0,0,0.5142514200025698,0,1,0,2,0,2,2,0,0,1,0,0,-0.7465354629935549,-0.19476626336477718,0,2,-0.2802938302082475,-0.7700407216497537
0,-0.43991649313097614,0,0,-1.2367242199587352,1,0,1,0,0,0,0,0,0,0,1,2,0.19736523310080326,-0.9404697022531111,1,1,-1.2674075283000508,0.2445952029406401
0,-0.43991649313097614,0,0,-0.9924020376385531,1,2,1,0,0,2,0,2,2,0,1,2,1.1595456961969886,-0.6451859741727949,1,1,-0.4642660847115522,0.4117751106790017
1,-0.43991649313097614,0,1,-0.4223169455581282,1,2,1,0,2,0,0,2,0,0,1,1,0.8089065291619363,-0.14679948896704018,0,2,0.00319495127567015,0.034206077823894634
0,-0.43991649313097614,0,0,-0.9109613101984924,0,1,0,2,0,0,0,0,0,0,0,3,-1.1636465100352518,-0.8741373704237511,0,1,-1.7164934989350518,-0.2966900582688282
0,-0.43991649313097614,1,0,-0.1779947632379461,1,2,1,0,0,2,2,2,2,0,1,2,1.330710787214099,0.3373492744317471,1,2,0.7126411804205978,0.04173642254833348
1,-0.43991649313097614,0,1,1.2064976032430856,1,0,0,2,2,0,0,0,0,1,0,0,-0.28621769394753876,0.5324391741681479,0,0,0.8047973162422732,-0.9740389069049373
1,-0.43991649313097614,1,1,-0.7888002190384014,1,0,0,2,0,0,0,0,0,0,1,3,-0.4922805219681379,-0.7480728289670203,0,2,-1.2351105736518668,-0.15210123925698288
1,-0.43991649313097614,0,0,-0.6666391278783103,1,0,2,1,1,1,1,1,1,2,0,1,-1.5225946620711341,-0.8631445247495343,0,2,-1.751929037402107,-0.4953157563213907
1,-0.43991649313097614,1,0,1.0436161483629645,1,2,1,0,0,2,0,2,2,1,0,1,1.182810854199314,1.5006704790038297,0,0,2.0747814394289574,-0.5956574020930476
1,-0.43991649313097614,0,0,0.6771328748826912,1,2,1,0,2,2,0,2,2,0,1,0,1.2941512532104444,1.2160043388136705,1,0,1.7413547483676208,-0.39253367586436355
1,-0.43991649313097614,0,0,-0.30015585439803716,1,0,1,2,0,2,2,2,2,0,1,2,1.3539759452164248,0.1784165658888543,0,2,0.5527003550858549,0.11372962747292062
0,-0.43991649313097614,1,1,1.4915401492832983,1,2,1,2,2,2,2,2,2,2,0,1,1.611554480242174,2.478128710529918,0,0,3.173651474553854,-0.7550734756301511
0,-0.43991649313097614,0,0,0.7992939660427822,1,0,2,1,1,1,1,1,1,1,0,3,-1.4660935640654862,-0.5558083996047153,0,0,-0.7151029562638725,-1.0439478831833982
1,-0.43991649313097614,0,1,1.5729808767233588,1,2,1,2,0,2,0,2,2,2,0,0,1.393859073220412,2.251693748830891,0,0,2.9626704564701645,-0.8206388358947541
0,-0.43991649313097614,1,1,-0.9109613101984924,1,0,0,0,0,2,2,0,0,0,0,1,-0.31779183695069496,-0.774164281952812,1,1,-1.2333480036354558,-0.051572899495525175
0,-0.43991649313097614,0,0,-0.46303730927815856,1,0,1,0,2,2,0,0,2,0,1,2,0.8404806721650927,-0.18498748699192968,0,2,-0.02866791589304376,0.06351402038394907
1,2.273158691738958,0,0,-1.2774445836787656,0,1,0,0,0,2,0,0,2,0,1,2,-0.8346107040023594,-0.9899154337997889,1,1,-1.4162592634527431,2.316798249892238
1,-0.43991649313097614,1,0,-0.8295205827584317,1,0,2,1,1,1,1,1,1,1,0,0,-1.4943441130683104,-0.9181308271079157,0,1,-1.8637361035612998,-0.42103727851293327
1,-0.43991649313097614,0,0,-1.2774445836787656,1,0,2,1,1,1,1,1,1,0,0,3,-1.4827115340671475,-0.9985242888458623,1,1,-2.1574214073264315,-0.24636871515892023
0,-0.43991649313097614,1,0,1.0436161483629645,1,2,0,0,2,0,2,0,0,2,1,1,-0.1615829189350795,0.5400105518112329,0,0,0.7815674742766612,-0.8786331639064145
1,-0.43991649313097614,1,1,0.6771328748826912,1,0,0,2,2,0,2,0,0,0,0,1,-0.17155370093607614,0.30390718367584674,0,0,0.4200606968841268,-0.719027736089725
0,-0.43991649313097614,0,0,-0.0965540357978854,1,0,0,2,2,0,0,0,0,0,1,0,-0.31446824295036285,-0.3316912065719389,0,2,-0.49315608551785567,-0.401075017389666
1,-0.43991649313097614,1,1,0.5956921474426305,1,2,1,0,2,0,0,2,2,0,1,2,1.1495749141959914,1.0892334297634156,1,2,1.5420459264754658,-0.3906771143045727
1,-0.43991649313097614,1,1,-1.2774445836787656,0,1,0,0,2,0,0,0,0,0,0,2,-1.1486903370337564,-0.9940874173990399,1,1,-1.989590084864445,-0.14491439742609225
1,-0.43991649313097614,1,0,1.6137012404433893,1,2,0,2,2,2,2,2,2,2,1,1,0.8471278601657574,1.804563062130219,0,0,2.4221968363280846,-0.9427952565831518
