gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure_group,PCA_1,PCA_2
0,-0.43991649313097614,1,0,-1.2774445836787656,0,1,0,0,2,0,0,0,0,0,1,2,-1.1603229160349193,-0.9942419353101233,0,1,-1.9954349567909824,-0.14844763237201258
1,-0.43991649313097614,0,0,0.06632741908223598,1,0,0,2,0,2,0,0,0,1,0,3,-0.2596289419448806,-0.17324412574959375,0,2,-0.27253667794509934,-0.4637266165684042
1,-0.43991649313097614,0,0,-1.2367242199587352,1,0,0,2,2,0,0,0,0,0,1,3,-0.3626603559551803,-0.9596740712020441,1,1,-1.5565049489704723,0.07605963830329379
1,-0.43991649313097614,0,0,0.5142514200025698,0,1,0,2,0,2,2,0,0,1,0,0,-0.7465354629935549,-0.19476626336477718,0,2,-0.2802938302082468,-0.7700407216497546
0,-0.43991649313097614,0,0,-1.2367242199587352,1,0,1,0,0,0,0,0,0,0,1,2,0.19736523310080326,-0.9404697022531111,1,1,-1.2674075283000514,0.2445952029406406
0,-0.43991649313097614,0,0,-0.9924020376385531,1,2,1,0,0,2,0,2,2,0,1,2,1.1595456961969886,-0.6451859741727949,1,1,-0.4642660847115529,0.4117751106790032
1,-0.43991649313097614,0,1,-0.4223169455581282,1,2,1,0,2,0,0,2,0,0,1,1,0.8089065291619363,-0.14679948896704018,0,2,0.0031949512756699557,0.034206077823895745
0,-0.43991649313097614,0,0,-0.9109613101984924,0,1,0,2,0,0,0,0,0,0,0,3,-1.1636465100352518,-0.8741373704237511,0,1,-1.716493498935052,-0.2966900582688292
0,-0.43991649313097614,1,0,-0.1779947632379461,1,2,1,0,0,2,2,2,2,0,1,2,1.330710787214099,0.3373492744317471,1,2,0.7126411804205978,0.041736422548335296
1,-0.43991649313097614,0,1,1.2064976032430856,1,0,0,2,2,0,0,0,0,1,0,0,-0.28621769394753876,0.5324391741681479,0,0,0.8047973162422745,-0.9740389069049378
1,-0.43991649313097614,1,1,-0.7888002190384014,1,0,0,2,0,0,0,0,0,0,1,3,-0.4922805219681379,-0.7480728289670203,0,2,-1.235110573651867,-0.1521012392569832
1,-0.43991649313097614,0,0,-0.6666391278783103,1,0,2,1,1,1,1,1,1,2,0,1,-1.5225946620711341,-0.8631445247495343,0,2,-1.7519290374021073,-0.4953157563213922
1,-0.43991649313097614,1,0,1.0436161483629645,1,2,1,0,0,2,0,2,2,1,0,1,1.182810854199314,1.5006704790038297,0,0,2.0747814394289583,-0.595657402093046
1,-0.43991649313097614,0,0,0.6771328748826912,1,2,1,0,2,2,0,2,2,0,1,0,1.2941512532104444,1.2160043388136705,1,0,1.7413547483676215,-0.3925336758643617
1,-0.43991649313097614,0,0,-0.30015585439803716,1,0,1,2,0,2,2,2,2,0,1,2,1.3539759452164248,0.1784165658888543,0,2,0.5527003550858548,0.11372962747292242
0,-0.43991649313097614,1,1,1.4915401492832983,1,2,1,2,2,2,2,2,2,2,0,1,1.611554480242174,2.478128710529918,0,0,3.1736514745538553,-0.7550734756301487
0,-0.43991649313097614,0,0,0.7992939660427822,1,0,2,1,1,1,1,1,1,1,0,3,-1.4660935640654862,-0.5558083996047153,0,0,-0.7151029562638714,-1.0439478831834006
1,-0.43991649313097614,0,1,1.5729808767233588,1,2,1,2,0,2,0,2,2,2,0,0,1.393859073220412,2.251693748830891,0,0,2.962670456470166,-0.820638835894752
0,-0.43991649313097614,1,1,-0.9109613101984924,1,0,0,0,0,2,2,0,0,0,0,1,-0.31779183695069496,-0.774164281952812,1,1,-1.2333480036354563,-0.051572899495525286
0,-0.43991649313097614,0,0,-0.46303730927815856,1,0,1,0,2,2,0,0,2,0,1,2,0.8404806721650927,-0.18498748699192968,0,2,-0.028667915893043953,0.06351402038395022
1,2.273158691738958,0,0,-1.2774445836787656,0,1,0,0,0,2,0,0,2,0,1,2,-0.8346107040023594,-0.9899154337997889,1,1,-1.4162592634527456,2.316798249892236
1,-0.43991649313097614,1,0,-0.8295205827584317,1,0,2,1,1,1,1,1,1,1,0,0,-1.4943441130683104,-0.9181308271079157,0,1,-1.8637361035613,-0.4210372785129347
1,-0.43991649313097614,0,0,-1.2774445836787656,1,0,2,1,1,1,1,1,1,0,0,3,-1.4827115340671475,-0.9985242888458623,1,1,-2.157421407326432,-0.24636871515892145
0,-0.43991649313097614,1,0,1.0436161483629645,1,2,0,0,2,0,2,0,0,2,1,1,-0.1615829189350795,0.5400105518112329,0,0,0.7815674742766622,-0.8786331639064148
1,-0.43991649313097614,1,1,0.6771328748826912,1,0,0,2,2,0,2,0,0,0,0,1,-0.17155370093607614,0.30390718367584674,0,0,0.42006069688412756,-0.7190277360897253
0,-0.43991649313097614,0,0,-0.0965540357978854,1,0,0,2,2,0,0,0,0,0,1,0,-0.31446824295036285,-0.3316912065719389,0,2,-0.49315608551785545,-0.40107501738966633
1,-0.43991649313097614,1,1,0.5956921474426305,1,2,1,0,2,0,0,2,2,0,1,2,1.1495749141959914,1.0892334297634156,1,2,1.5420459264754665,-0.3906771143045711
1,-0.43991649313097614,1,1,-1.2774445836787656,0,1,0,0,2,0,0,0,0,0,0,2,-1.1486903370337564,-0.9940874173990399,1,1,-1.9895900848644457,-0.14491439742609313
1,-0.43991649313097614,1,0,1.6137012404433893,1,2,0,2,2,2,2,2,2,2,1,1,0.8471278601657574,1.804563062130219,0,0,2.422196836328086,-0.9427952565831506
0,-0.43991649313097614,0,1,-0.62591876415828,1,0,0,0,0,0,0,2,2,0,1,3,-0.0020504069191315333,-0.5248385954261489,1,2,-0.7570673261109797,-0.09035468655469132
0,2.273158691738958,1,0,1.5729808767233588,1,2,1,2,2,2,2,0,0,2,1,1,1.0498670941860242,1.9800512611463297,0,0,3.030365056056561,1.4767066255223704
1,2.273158691738958,1,0,-1.2367242199587352,1,0,1,0,0,2,0,2,2,0,1,1,1.0216165451832002,-0.9272253098745368,0,1,-0.4362332093868902,2.8609601794219666
0,-0.43991649313097614,1,1,-0.21871512695797646,1,0,0,2,2,2,2,0,0,1,0,3,0.046141706085686136,-0.17988839592617856,0,2,-0.28294097394745166,-0.26734093822511024
1,-0.43991649313097614,0,0,-1.2774445836787656,1,0,2,1,1,1,1,1,1,0,0,0,-1.481049737066981,-0.9985022148585647,0,1,-2.156586425622641,-0.2458639673095043
1,2.273158691738958,0,0,-1.2774445836787656,1,0,0,0,0,0,0,0,0,0,0,0,-0.6484894399837535,-0.9874431472224551,0,1,-1.3227413126281562,2.3733300090269465
0,-0.43991649313097614,1,1,1.6137012404433893,1,2,1,2,2,0,2,2,0,2,0,0,1.1678546811978192,2.1940585679967946,0,0,2.835750277905377,-0.896603999833163
1,-0.43991649313097614,0,0,-1.1145631287986442,1,0,1,0,0,0,0,0,0,0,1,2,0.16412929309748078,-0.8675151742344638,1,1,-1.1687217955721805,0.18098849654132543
0,-0.43991649313097614,0,0,0.5549717837226001,1,0,1,0,0,2,0,0,0,0,1,1,0.33363258711442517,0.5590824768363802,0,2,0.769389504716602,-0.5548707647426954
1,-0.43991649313097614,0,0,0.06632741908223598,1,2,1,0,2,2,0,2,2,0,1,2,1.3822264942192488,0.559501882595035,1,2,1.0182234539849948,-0.05956966829742137
0,-0.43991649313097614,0,0,-0.8702409464784621,1,2,1,0,0,2,0,2,2,0,1,0,1.099721004191008,-0.5194083945509333,1,1,-0.3440995623188144,0.33302154633549125
1,-0.43991649313097614,1,1,-0.9109613101984924,1,0,0,0,2,0,0,0,0,1,0,3,-0.5055748979694671,-0.79740819057721,0,1,-1.3412958166578142,-0.10585032021468277
0,-0.43991649313097614,1,1,1.5322605130033284,1,2,0,2,2,0,0,2,0,2,1,1,0.14751132309581955,1.1436237344647615,0,0,1.598853249849774,-1.0394759727781187
0,-0.43991649313097614,1,1,-0.62591876415828,1,0,2,1,1,1,1,1,1,1,0,3,-1.462769970065154,-0.82277120198218,0,2,-1.6735058204166608,-0.49699171588229446
0,-0.43991649313097614,0,0,1.247217966963116,1,2,0,2,2,2,2,2,0,2,1,1,0.5014740841312035,1.1388116052338793,0,0,1.6134444057538222,-0.8286111075020581
0,-0.43991649313097614,1,0,-0.7888002190384014,1,2,0,2,2,0,2,2,0,0,1,2,0.3801629031190768,-0.5741298090617433,0,2,-0.6903724706156423,0.09130299926265908
0,-0.43991649313097614,0,0,0.6771328748826912,1,2,1,0,0,0,0,0,2,0,1,2,0.6560212051466532,0.7173088177857488,0,0,1.0995354911222566,-0.5211719694315212
1,-0.43991649313097614,0,0,-1.2367242199587352,1,0,0,0,2,0,0,0,0,0,0,3,-0.5155456799704636,-0.9645965703694143,0,1,-1.635217871405105,0.03000734711512791
0,-0.43991649313097614,0,0,-1.2367242199587352,1,0,1,0,0,0,0,2,0,0,1,2,0.5280628361338618,-0.9437808003477547,1,1,-1.106293630195007,0.3460644091304586
1,-0.43991649313097614,0,0,0.7992939660427822,1,2,0,2,0,0,2,2,2,2,1,1,0.4981504901308714,0.8546531667515656,0,0,1.1788698114253584,-0.6314168774145517
0,-0.43991649313097614,1,1,1.4915401492832983,1,2,0,2,0,2,2,0,0,2,1,1,-0.020330173920958795,0.8706788815296407,0,0,1.314717930998299,-1.0398741635564535
0,2.273158691738958,0,0,0.43281069256250915,1,2,1,0,2,0,0,2,0,0,1,2,0.8471278601657574,0.687310269048278,0,2,1.4551655513958597,1.9950202502056347
0,-0.43991649313097614,0,0,-0.7073594915983407,1,0,1,2,2,0,0,2,2,0,1,1,1.141265929195161,-0.3776933961001872,1,2,-0.14100698749392132,0.26853336297708424
0,2.273158691738958,1,0,-0.30015585439803716,1,2,0,2,0,0,2,2,0,0,1,1,0.1574821050968162,-0.23366062898319062,0,2,0.1074573661495276,2.1693074161431465
0,2.273158691738958,1,0,-0.9924020376385531,1,2,1,0,2,0,0,0,0,0,1,1,0.5280628361338618,-0.7278309826150992,1,1,-0.41469216975876955,2.5961602382698348
0,2.273158691738958,1,1,1.125056875803025,1,0,0,2,2,2,2,0,2,1,1,1,0.33529438411459117,0.9599681601485298,0,0,1.76243838618929,1.554469082513018
1,2.273158691738958,0,0,-0.5851984004382496,1,2,1,0,0,0,0,2,2,0,1,2,1.0199547481830342,-0.2337047769577859,1,2,0.3762512859195106,2.5348892911747067
0,-0.43991649313097614,1,1,1.247217966963116,1,2,1,2,0,0,0,2,2,1,1,1,1.1595456961969886,1.7788468669284871,0,0,2.3577141681649025,-0.7126746911455346
1,2.273158691738958,1,1,1.369379058123207,1,2,1,0,2,2,2,2,2,1,1,2,1.4520219682262263,2.116645094544028,0,0,3.2062636576245453,1.654323276103256
0,-0.43991649313097614,1,1,0.06632741908223598,1,2,2,1,1,1,1,1,1,2,0,1,-1.3231790220511994,-0.612604768921502,0,2,-1.0855332426649225,-0.7302215829523633
0,-0.43991649313097614,0,0,1.6137012404433893,1,2,1,0,0,2,2,2,2,2,1,1,1.42044782522307,2.4598293750601874,0,0,3.1345993472139506,-0.8547759623791763
0,-0.43991649313097614,1,0,0.5956921474426305,1,2,1,0,0,2,0,2,2,0,1,2,1.1877962451998125,1.070669206446114,0,2,1.5487547857192585,-0.3765319025627299
1,-0.43991649313097614,0,0,1.125056875803025,1,2,1,0,2,0,0,2,0,0,1,0,0.8354952811645946,1.398953545536378,0,0,1.8815138436298948,-0.7174059096395702
1,-0.43991649313097614,1,0,1.6137012404433893,0,1,0,2,2,2,0,0,0,2,0,0,-0.7531826509942192,0.3002429017844411,0,0,0.6464226035897463,-1.231663212382132
0,-0.43991649313097614,1,1,-0.5851984004382496,1,0,0,0,0,2,2,0,0,1,1,1,-0.34438058895335305,-0.5848798408756862,0,2,-0.9430002668552486,-0.20153772722428154
0,-0.43991649313097614,0,0,-0.9516816739185228,1,2,1,0,0,0,0,2,2,0,0,2,0.9850570111795457,-0.6289615935090412,1,1,-0.5173581827593154,0.3417269481912709
0,-0.43991649313097614,0,0,-1.1960038562387048,1,0,0,0,2,0,2,2,2,0,1,2,0.3502505571160864,-0.8996548997398044,0,1,-1.1427459908999524,0.2712907900806455
1,-0.43991649313097614,1,0,0.5956921474426305,1,2,1,0,2,0,0,0,0,1,1,2,0.46989994112804756,0.6041354849108307,0,2,0.8886226781211145,-0.533815566124014
0,-0.43991649313097614,0,0,-0.055833672077855064,1,0,0,0,2,2,2,2,2,2,0,3,0.47987072312904416,0.09504311586572828,0,2,0.20107612550889398,-0.22972984321743264
0,-0.43991649313097614,1,1,0.7178532386027215,1,0,2,1,1,1,1,1,1,2,0,0,-1.4827115340671475,-0.5964466102196411,0,0,-0.7947985934646914,-1.0144528701584006
1,-0.43991649313097614,0,0,-0.9109613101984924,1,0,1,2,0,2,0,0,0,0,1,3,0.5014740841312035,-0.6156730531558716,0,1,-0.7249903578545608,0.17764012020979228
1,-0.43991649313097614,0,0,-1.2774445836787656,1,0,0,0,0,0,2,0,0,0,0,3,-0.5221928679711283,-0.9857655241878356,0,1,-1.6748019825352476,0.04537554180413677
0,-0.43991649313097614,1,1,0.7992939660427822,1,0,2,1,1,1,1,1,1,1,1,2,-1.4744025490663168,-0.5259202208037324,0,0,-0.6996231386218525,-1.050460556722075
1,2.273158691738958,1,1,1.2879383306831464,1,2,1,2,0,2,2,2,2,2,1,0,1.5567151792366918,2.1266446107898513,0,0,3.219643205627194,1.7141458070351712
1,-0.43991649313097614,1,1,1.2064976032430856,1,2,2,1,1,1,1,1,1,2,1,0,-1.3464441800535252,-0.3784880596429018,0,0,-0.3155235635314869,-1.176813869025083
0,-0.43991649313097614,0,1,-1.1960038562387048,1,0,0,2,0,0,2,0,2,0,1,0,-0.00869759491979612,-0.9291015987948348,0,1,-1.3392712691233424,0.16554680614298306
0,2.273158691738958,0,0,0.9621754209229036,1,2,1,2,2,2,0,2,2,1,0,2,1.5201556452330371,1.7030447945484464,0,0,2.7445948332680357,1.8759758073632988
0,-0.43991649313097614,0,0,0.5549717837226001,1,0,0,0,0,0,0,0,2,1,0,1,-0.3028356639492,0.1796527091775211,0,2,0.20653240409892845,-0.6988602508895517
0,-0.43991649313097614,1,1,-0.9924020376385531,1,0,0,2,2,0,0,0,0,0,0,3,-0.33607160395252245,-0.7945164982412213,0,1,-1.3005729948225573,-0.025283016621827702
1,2.273158691738958,0,0,-0.0965540357978854,1,0,0,2,2,0,0,2,2,0,1,2,0.3319707901142591,-0.07532391809733362,0,2,0.40951419744448403,2.1286396005309185
0,-0.43991649313097614,1,1,0.5142514200025698,1,2,2,1,1,1,1,1,1,1,1,1,-1.2916048790480432,-0.4703158468010176,0,2,-0.7299612039498746,-0.8999206826939653
0,-0.43991649313097614,0,1,-1.2774445836787656,1,0,1,0,0,0,0,2,0,0,1,2,0.48485611412954227,-0.9723886878854755,1,1,-1.168803070037916,0.3512527385508725
0,-0.43991649313097614,1,1,-0.8702409464784621,0,1,0,2,0,0,0,2,2,0,0,2,-0.47233895796614456,-0.7578295313525703,0,1,-1.276521559709491,-0.11554354140317336
0,-0.43991649313097614,1,0,-1.0331224013585834,1,0,1,0,0,2,0,0,0,0,1,0,0.34526516611558833,-0.7880488199630175,1,1,-0.9823549892492426,0.19659109167260327
0,-0.43991649313097614,0,0,0.3920903288424788,1,0,1,0,2,2,2,2,2,0,1,0,1.2974748472107767,0.9030834948825526,0,2,1.3809468688667648,-0.24782043778919283
0,-0.43991649313097614,1,0,0.6771328748826912,1,0,2,1,1,1,1,1,1,2,1,0,-1.4827115340671475,-0.5777057950039584,0,0,-0.8049521773422919,-1.002360781541942
1,-0.43991649313097614,0,0,-0.9516816739185228,1,2,1,0,2,0,0,2,2,0,1,1,1.1479131171958254,-0.6018105891329637,0,1,-0.4191582686397335,0.38786959312356156
0,-0.43991649313097614,1,0,0.10704778280226633,1,0,0,2,0,0,0,2,0,1,1,0,-0.08680205392760396,-0.029343802556382977,0,2,-0.07048838846020287,-0.44464620823776657
0,-0.43991649313097614,1,1,0.6364125111626608,1,0,2,1,1,1,1,1,1,2,0,0,-1.4660935640654862,-0.5407760142550334,0,2,-0.794983356179751,-0.9876104657288509
0,-0.43991649313097614,1,1,0.5549717837226001,1,0,2,1,1,1,1,1,1,2,1,3,-1.4893587220678117,-0.5981242332542606,0,2,-0.88890928722974,-0.9579242398913886
1,-0.43991649313097614,1,0,-0.13727439951791576,0,1,0,0,0,0,0,2,0,0,0,3,-1.0307027500219619,-0.5618566721242643,0,2,-1.0200341017689263,-0.5746970278894079
1,-0.43991649313097614,1,1,-0.0965540357978854,1,0,1,0,2,2,0,0,0,0,0,0,0.574593152138513,0.12727113732025933,0,2,0.24652880065553176,-0.1904932269616418
1,2.273158691738958,0,0,-1.2774445836787656,1,0,1,0,0,0,2,0,0,0,0,2,0.3303089931140931,-0.9744415687041545,0,1,-0.830937089095271,2.670626492333592
1,-0.43991649313097614,1,1,1.369379058123207,1,2,0,2,0,2,2,2,2,2,1,3,0.6394032351449919,1.5153055325821543,0,0,1.9955193486336582,-0.8802883698202554
0,-0.43991649313097614,0,0,1.3286586944031769,1,2,1,2,2,2,0,2,2,0,1,1,1.5384354122348645,2.130176448757471,0,0,2.819844602967736,-0.6728077138206883
1,-0.43991649313097614,0,0,1.6137012404433893,1,2,1,0,2,2,0,2,2,2,1,0,1.2010906212011416,2.2855993933200414,0,0,2.912137222405287,-0.8986226056273012
0,-0.43991649313097614,0,0,-0.8295205827584317,1,2,1,2,0,0,0,0,0,0,1,2,0.47156173812821356,-0.5980138633177725,1,1,-0.6833248614879724,0.1369855231313429
1,-0.43991649313097614,1,1,1.5729808767233588,1,2,0,2,2,0,2,0,0,1,1,1,0.06940686408801149,1.0890347638777371,0,0,1.5469551122247276,-1.0706624028279688
1,-0.43991649313097614,0,0,-1.1145631287986442,1,0,2,1,1,1,1,1,1,0,0,3,-1.4527991880641573,-0.957157636650115,1,1,-2.025819622047399,-0.3010672690412285
1,-0.43991649313097614,0,0,0.7992939660427822,1,0,2,1,1,1,1,1,1,2,0,0,-1.4544609850643233,-0.5186137310082188,0,0,-0.6849897763917024,-1.0453399107402677
0,2.273158691738958,1,0,-0.30015585439803716,1,0,1,0,2,2,0,2,2,0,1,2,1.1213243651931677,0.10268071547070626,1,2,0.8037256515825791,2.4190399694585887
1,-0.43991649313097614,0,0,-1.2774445836787656,1,0,2,1,1,1,1,1,1,0,0,3,-1.481049737066981,-0.9985022148585647,0,1,-2.156586425622641,-0.2458639673095043
0,-0.43991649313097614,1,1,-1.2774445836787656,1,0,2,1,1,1,1,1,1,0,0,2,-1.505976692069473,-0.9988333246680291,0,1,-2.169111151179506,-0.2534351850507602
1,-0.43991649313097614,0,0,0.22920887396235737,1,2,1,0,0,2,2,2,0,1,0,0,1.0049985751815391,0.5843792662794571,0,2,0.9379944771459016,-0.23645797581348696
0,2.273158691738958,1,0,1.369379058123207,0,1,0,0,2,2,0,2,0,1,0,0,-0.6385186579827569,0.3290494552078404,0,0,1.002837256700325,1.253356219183894
1,-0.43991649313097614,1,0,1.4508197855632678,1,2,1,0,2,2,2,2,2,2,1,0,1.503537675231376,2.3530574985015806,1,0,3.0159400595190387,-0.756857969131059
1,-0.43991649313097614,0,0,-1.1145631287986442,0,1,0,0,0,0,0,0,0,0,0,3,-1.3447823830533592,-0.9631838351823664,0,1,-1.9764341832232881,-0.2672665618529924
0,-0.43991649313097614,1,1,1.6137012404433893,1,2,1,2,2,0,0,2,2,1,1,2,1.3091074262119398,2.216728552951454,0,0,2.920347528499234,-0.8564653892939914
0,-0.43991649313097614,0,0,-0.015113308357824713,0,1,0,2,0,0,0,0,0,1,0,3,-1.150352134033923,-0.5978814193939866,0,2,-1.0354174082903986,-0.6502121794750295
1,-0.43991649313097614,0,0,0.43281069256250915,1,2,1,0,0,0,0,2,2,1,0,3,0.9833952141793793,0.7237544220766552,0,2,1.1308066520253979,-0.33451105582464885
1,-0.43991649313097614,1,1,1.6137012404433893,1,0,2,1,1,1,1,1,1,2,0,1,-1.5076384890696393,-0.4055728420570864,0,0,-0.18853592828312768,-1.3682983549982044
1,-0.43991649313097614,1,0,0.9214550572028734,1,2,1,2,2,0,0,2,0,0,1,2,1.0631614701873533,1.3054481353436427,1,0,1.8204993962813647,-0.5624994734940456
0,-0.43991649313097614,0,0,0.7992939660427822,1,0,0,2,0,2,2,0,0,1,0,1,-0.22639300194155818,0.33567165139712757,0,0,0.48109239772299217,-0.7837572423516863
0,-0.43991649313097614,0,0,0.43281069256250915,1,0,1,0,2,2,0,2,0,0,1,2,0.893658176170409,0.7382349577438965,0,2,1.0959861135852853,-0.36385143038266826
